username,repo_name,stars,repo_url
mrdoob,three.js,https://github.com/mrdoob/three.js,89.6k
pmndrs,react-three-fiber,https://github.com/pmndrs/react-three-fiber,21.7k
libgdx,libgdx,https://github.com/libgdx/libgdx,21.2k
BabylonJS,Babylon.js,https://github.com/BabylonJS/Babylon.js,19.5k
ssloy,tinyrenderer,https://github.com/ssloy/tinyrenderer,16.2k
aframevr,aframe,https://github.com/aframevr/aframe,15.1k
lettier,3d-game-shaders-for-beginners,https://github.com/lettier/3d-game-shaders-for-beginners,14.7k
FreeCAD,FreeCAD,https://github.com/FreeCAD/FreeCAD,13.4k
CesiumGS,cesium,https://github.com/CesiumGS/cesium,10k
metafizzy,zdog,https://github.com/metafizzy/zdog,9.6k
timzhang642,3D-Machine-Learning,https://github.com/timzhang642/3D-Machine-Learning,8.7k
isl-org,Open3D,https://github.com/isl-org/Open3D,8.2k
blender,blender,https://github.com/blender/blender,7.8k
a1studmuffin,SpaceshipGenerator,https://github.com/a1studmuffin/SpaceshipGenerator,7.4k
domlysz,BlenderGIS,https://github.com/domlysz/BlenderGIS,6.1k
FyroxEngine,Fyrox,https://github.com/FyroxEngine/Fyrox,5.9k
openscad,openscad,https://github.com/openscad/openscad,5.4k
google,model-viewer,https://github.com/google/model-viewer,5.4k
spritejs,spritejs,https://github.com/spritejs/spritejs,5.1k
jagenjo,webglstudio.js,https://github.com/jagenjo/webglstudio.js,4.9k
