username,repo_name,stars,repo_url
public-apis,public-apis,https://github.com/public-apis/public-apis,230k
neovim,neovim,https://github.com/neovim/neovim,63.1k
tiangolo,fastapi,https://github.com/tiangolo/fastapi,55.2k
strapi,strapi,https://github.com/strapi/strapi,52.2k
hoppscotch,hoppscotch,https://github.com/hoppscotch/hoppscotch,50.3k
ocornut,imgui,https://github.com/ocornut/imgui,45.8k
slatedocs,slate,https://github.com/slatedocs/slate,35k
meilisearch,meilisearch,https://github.com/meilisearch/meilisearch,34.3k
hasura,graphql-engine,https://github.com/hasura/graphql-engine,29.3k
ccxt,ccxt,https://github.com/ccxt/ccxt,27.4k
Binaryify,NeteaseCloudMusicApi,https://github.com/Binaryify/NeteaseCloudMusicApi,27.2k
Kong,insomnia,https://github.com/Kong/insomnia,26.9k
httpie,httpie,https://github.com/httpie/httpie,26.7k
YMFE,yapi,https://github.com/YMFE/yapi,25.8k
encode,django-rest-framework,https://github.com/encode/django-rest-framework,25.1k
littlecodersh,ItChat,https://github.com/littlecodersh/ItChat,23.2k
trpc,trpc,https://github.com/trpc/trpc,22.4k
paularmstrong,normalizr,https://github.com/paularmstrong/normalizr,21k
microsoft,api-guidelines,https://github.com/microsoft/api-guidelines,20.8k
FallibleInc,security-guide-for-developers,https://github.com/FallibleInc/security-guide-for-developers,20.6k
