username,repo_name,stars,repo_url
bitwarden,server,https://github.com/bitwarden/server,12.1k
dotnet,AspNetCore.Docs,https://github.com/dotnet/AspNetCore.Docs,11.4k
aspnetboilerplate,aspnetboilerplate,https://github.com/aspnetboilerplate/aspnetboilerplate,10.9k
abpframework,abp,https://github.com/abpframework/abp,9.5k
nopSolutions,nopCommerce,https://github.com/nopSolutions/nopCommerce,8k
ElectronNET,Electron.NET,https://github.com/ElectronNET/Electron.NET,6.6k
thangchung,clean-code-dotnet,https://github.com/thangchung/clean-code-dotnet,5.9k
RicoSuter,NSwag,https://github.com/RicoSuter/NSwag,5.7k
dotnet,aspnet-api-versioning,https://github.com/dotnet/aspnet-api-versioning,2.6k
FastEndpoints,FastEndpoints,https://github.com/FastEndpoints/FastEndpoints,2.6k
smartstore,SmartStoreNET,https://github.com/smartstore/SmartStoreNET,2.5k
JimBobSquarePants,ImageProcessor,https://github.com/JimBobSquarePants/ImageProcessor,2.5k
serenity-is,Serenity,https://github.com/serenity-is/Serenity,2.3k
loic-sharma,BaGet,https://github.com/loic-sharma/BaGet,2.3k
mjebrahimi,Awesome-Microservices-DotNet,https://github.com/mjebrahimi/Awesome-Microservices-DotNet,2.2k
TrilonIO,aspnetcore-angular-universal,https://github.com/TrilonIO/aspnetcore-angular-universal,1.5k
TrilonIO,aspnetcore-Vue-starter,https://github.com/TrilonIO/aspnetcore-Vue-starter,1.2k
MarimerLLC,csla,https://github.com/MarimerLLC/csla,1.1k
antonioCoco,SharPyShell,https://github.com/antonioCoco/SharPyShell,761
riganti,dotvvm,https://github.com/riganti/dotvvm,666
