username,repo_name,stars,repo_url
ljianshu,Blog,https://github.com/ljianshu/Blog,7.5k
metafizzy,infinite-scroll,https://github.com/metafizzy/infinite-scroll,7.2k
developit,unfetch,https://github.com/developit/unfetch,5.5k
olifolkerd,tabulator,https://github.com/olifolkerd/tabulator,5.3k
jquery-form,form,https://github.com/jquery-form/form,5.2k
Studio-42,elFinder,https://github.com/Studio-42/elFinder,4.4k
elbywan,wretch,https://github.com/elbywan/wretch,3.8k
dwyl,learn-to-send-email-via-google-script-html-no-server,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server,2.9k
ded,reqwest,https://github.com/ded/reqwest,2.9k
LeaVerou,bliss,https://github.com/LeaVerou/bliss,2.4k
wendux,ajax-hook,https://github.com/wendux/ajax-hook,2.3k
noelboss,featherlight,https://github.com/noelboss/featherlight,2.1k
craftpip,jquery-confirm,https://github.com/craftpip/jquery-confirm,1.8k
ptaoussanis,sente,https://github.com/ptaoussanis/sente,1.7k
nette,tracy,https://github.com/nette/tracy,1.6k
joaomilho,Enterprise,https://github.com/joaomilho/Enterprise,1.6k
loadingio,css-spinner,https://github.com/loadingio/css-spinner,1.5k
k8w,tsrpc,https://github.com/k8w/tsrpc,1.4k
u014427391,jeeplatform,https://github.com/u014427391/jeeplatform,1.4k
codingforentrepreneurs,eCommerce,https://github.com/codingforentrepreneurs/eCommerce,1.4k
