username,repo_name,stars,repo_url
jwasham,coding-interview-university,https://github.com/jwasham/coding-interview-university,250k
trekhleb,javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,164k
CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes,162k
TheAlgorithms,Python,https://github.com/TheAlgorithms/Python,155k
yangshun,tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,87.1k
kdn251,interviews,https://github.com/kdn251/interviews,59.3k
azl397985856,leetcode,https://github.com/azl397985856/leetcode,50.7k
TheAlgorithms,Java,https://github.com/TheAlgorithms/Java,50.6k
algorithm-visualizer,algorithm-visualizer,https://github.com/algorithm-visualizer/algorithm-visualizer,42.4k
youngyangyang04,leetcode-master,https://github.com/youngyangyang04/leetcode-master,36.1k
halfrost,LeetCode-Go,https://github.com/halfrost/LeetCode-Go,29.2k
huihut,interview,https://github.com/huihut/interview,27.8k
donnemartin,interactive-coding-challenges,https://github.com/donnemartin/interactive-coding-challenges,27k
crossoverJie,JCSprout,https://github.com/crossoverJie/JCSprout,26.9k
TheAlgorithms,JavaScript,https://github.com/TheAlgorithms/JavaScript,25.6k
TheAlgorithms,C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,23.5k
keon,algorithms,https://github.com/keon/algorithms,22.2k
trekhleb,homemade-machine-learning,https://github.com/trekhleb/homemade-machine-learning,21k
mxgmn,WaveFunctionCollapse,https://github.com/mxgmn/WaveFunctionCollapse,20.8k
AtsushiSakai,PythonRobotics,https://github.com/AtsushiSakai/PythonRobotics,17.7k
