username,repo_name,stars,repo_url
localstack,localstack,https://github.com/localstack/localstack,46.1k
serverless,serverless,https://github.com/serverless/serverless,44.3k
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,41k
donnemartin,data-science-ipython-notebooks,https://github.com/donnemartin/data-science-ipython-notebooks,24.7k
pulumi,pulumi,https://github.com/pulumi/pulumi,15.3k
ramitsurana,awesome-kubernetes,https://github.com/ramitsurana/awesome-kubernetes,13.6k
kubernetes-sigs,kubespray,https://github.com/kubernetes-sigs/kubespray,13.6k
aws,aws-cli,https://github.com/aws/aws-cli,13.5k
serverless-stack,sst,https://github.com/serverless-stack/sst,12.2k
mozilla,sops,https://github.com/mozilla/sops,12.1k
donnemartin,awesome-aws,https://github.com/donnemartin/awesome-aws,11.3k
caprover,caprover,https://github.com/caprover/caprover,10.1k
apereo,cas,https://github.com/apereo/cas,10k
aws,aws-cdk,https://github.com/aws/aws-cdk,9.9k
GoogleCloudPlatform,terraformer,https://github.com/GoogleCloudPlatform/terraformer,9.7k
aws,chalice,https://github.com/aws/chalice,9.6k
aws-amplify,amplify-js,https://github.com/aws-amplify/amplify-js,9.1k
aws,serverless-application-model,https://github.com/aws/serverless-application-model,8.9k
google,go-cloud,https://github.com/google/go-cloud,8.9k
infracost,infracost,https://github.com/infracost/infracost,8.7k
