username,repo_name,stars,repo_url
flutter,flutter,https://github.com/flutter/flutter,151k
facebook,react-native,https://github.com/facebook/react-native,108k
justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,100k
Genymobile,scrcpy,https://github.com/Genymobile/scrcpy,77.5k
Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,62.2k
google,material-design-icons,https://github.com/google/material-design-icons,47.7k
Solido,awesome-flutter,https://github.com/Solido/awesome-flutter,45.6k
wasabeef,awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,45.6k
square,okhttp,https://github.com/square/okhttp,43.6k
android,architecture-samples,https://github.com/android/architecture-samples,42.3k
square,retrofit,https://github.com/square/retrofit,41.2k
dcloudio,uni-app,https://github.com/dcloudio/uni-app,37.8k
fastlane,fastlane,https://github.com/fastlane/fastlane,36.7k
PhilJay,MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,36.2k
laurent22,joplin,https://github.com/laurent22/joplin,34.8k
airbnb,lottie-android,https://github.com/airbnb/lottie-android,33.7k
skylot,jadx,https://github.com/skylot/jadx,33.6k
shadowsocks,shadowsocks-android,https://github.com/shadowsocks/shadowsocks-android,33.4k
bumptech,glide,https://github.com/bumptech/glide,33.4k
xitu,gold-miner,https://github.com/xitu/gold-miner,32k
