username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,100k
angular,angular,https://github.com/angular/angular,86.7k
storybookjs,storybook,https://github.com/storybookjs/storybook,77.2k
leonardomso,33-js-concepts,https://github.com/leonardomso/33-js-concepts,55.3k
ionic-team,ionic-framework,https://github.com/ionic-team/ionic-framework,48.7k
prettier,prettier,https://github.com/prettier/prettier,45k
Asabeneh,30-Days-Of-JavaScript,https://github.com/Asabeneh/30-Days-Of-JavaScript,33.9k
SheetJS,sheetjs,https://github.com/SheetJS/sheetjs,32.3k
angular,angular-cli,https://github.com/angular/angular-cli,26k
angular,components,https://github.com/angular/components,23.4k
NativeScript,NativeScript,https://github.com/NativeScript/NativeScript,22.3k
goldbergyoni,javascript-testing-best-practices,https://github.com/goldbergyoni/javascript-testing-best-practices,21k
jhipster,generator-jhipster,https://github.com/jhipster/generator-jhipster,20.4k
pubkey,rxdb,https://github.com/pubkey/rxdb,19k
nrwl,nx,https://github.com/nrwl/nx,16.8k
teambit,bit,https://github.com/teambit/bit,16.4k
sweetalert2,sweetalert2,https://github.com/sweetalert2/sweetalert2,15.6k
sudheerj,javascript-interview-questions,https://github.com/sudheerj/javascript-interview-questions,14.7k
wailsapp,wails,https://github.com/wailsapp/wails,14.4k
codesandbox,codesandbox-client,https://github.com/codesandbox/codesandbox-client,12.2k
