username,repo_name,stars,repo_url
ansible,ansible,https://github.com/ansible/ansible,56.5k
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,41k
trailofbits,algo,https://github.com/trailofbits/algo,26.9k
StreisandEffect,streisand,https://github.com/StreisandEffect/streisand,22.9k
MichaelCade,90DaysOfDevOps,https://github.com/MichaelCade/90DaysOfDevOps,21.7k
kubernetes-sigs,kubespray,https://github.com/kubernetes-sigs/kubespray,13.6k
ansible,awx,https://github.com/ansible/awx,12k
easzlab,kubeasz,https://github.com/easzlab/kubeasz,8.9k
geerlingguy,ansible-for-devops,https://github.com/geerlingguy/ansible-for-devops,6.7k
khuedoan,homelab,https://github.com/khuedoan/homelab,6.7k
Tikam02,DevOps-Guide,https://github.com/Tikam02/DevOps-Guide,6.3k
ansible-semaphore,semaphore,https://github.com/ansible-semaphore/semaphore,5.7k
geerlingguy,mac-dev-playbook,https://github.com/geerlingguy/mac-dev-playbook,5.2k
rundeck,rundeck,https://github.com/rundeck/rundeck,4.9k
KubeOperator,KubeOperator,https://github.com/KubeOperator/KubeOperator,4.6k
clong,DetectionLab,https://github.com/clong/DetectionLab,4.1k
netbootxyz,netboot.xyz,https://github.com/netbootxyz/netboot.xyz,3.9k
litmuschaos,litmus,https://github.com/litmuschaos/litmus,3.5k
ansible-community,molecule,https://github.com/ansible-community/molecule,3.5k
opendevops-cn,opendevops,https://github.com/opendevops-cn/opendevops,3.4k
