username,repo_name,stars,repo_url
arendst,Tasmota,https://github.com/arendst/Tasmota,19.3k
MarlinFirmware,Marlin,https://github.com/MarlinFirmware/Marlin,14.5k
arduino,Arduino,https://github.com/arduino/Arduino,13.4k
rwaldron,johnny-five,https://github.com/rwaldron/johnny-five,12.9k
tinygo-org,tinygo,https://github.com/tinygo-org/tinygo,12.4k
SpacehuhnTech,esp8266_deauther,https://github.com/SpacehuhnTech/esp8266_deauther,11.4k
espressif,arduino-esp32,https://github.com/espressif/arduino-esp32,10.3k
gurugio,lowlevelprogramming-university,https://github.com/gurugio/lowlevelprogramming-university,8.2k
hybridgroup,gobot,https://github.com/hybridgroup/gobot,8.1k
platformio,platformio-core,https://github.com/platformio/platformio-core,6.6k
bblanchon,ArduinoJson,https://github.com/bblanchon/ArduinoJson,6.1k
tzapu,WiFiManager,https://github.com/tzapu/WiFiManager,5.7k
hybridgroup,cylon,https://github.com/hybridgroup/cylon,4k
Arduino-IRremote,Arduino-IRremote,https://github.com/Arduino-IRremote/Arduino-IRremote,3.9k
arduino,arduino-cli,https://github.com/arduino/arduino-cli,3.8k
olikraus,u8g2,https://github.com/olikraus/u8g2,3.7k
blynkkk,blynk-library,https://github.com/blynkkk/blynk-library,3.6k
NerdLang,nerd,https://github.com/NerdLang/nerd,3.4k
ClemensElflein,OpenMower,https://github.com/ClemensElflein/OpenMower,3.4k
Serial-Studio,Serial-Studio,https://github.com/Serial-Studio/Serial-Studio,3.1k
