username,repo_name,stars,repo_url
atom,atom,https://github.com/atom/atom,59.2k
themerdev,themer,https://github.com/themerdev/themer,5.1k
miniflux,v2,https://github.com/miniflux/v2,4.8k
shd101wyy,markdown-preview-enhanced,https://github.com/shd101wyy/markdown-preview-enhanced,3.9k
nteract,hydrogen,https://github.com/nteract/hydrogen,3.8k
atom,teletype,https://github.com/atom/teletype,2.4k
mmcdole,gofeed,https://github.com/mmcdole/gofeed,2.1k
NaiboWang,CommandlineConfig,https://github.com/NaiboWang/CommandlineConfig,2k
mehcode,awesome-atom,https://github.com/mehcode/awesome-atom,1.9k
kurtmckee,feedparser,https://github.com/kurtmckee/feedparser,1.6k
joefitzgerald,go-plus,https://github.com/joefitzgerald/go-plus,1.5k
Glavin001,atom-beautify,https://github.com/Glavin001/atom-beautify,1.5k
simplepie,simplepie,https://github.com/simplepie/simplepie,1.5k
ocaml,merlin,https://github.com/ocaml/merlin,1.5k
t9md,atom-vim-mode-plus,https://github.com/t9md/atom-vim-mode-plus,1.4k
MagicStack,MagicPython,https://github.com/MagicStack/MagicPython,1.4k
feeddd,feeds,https://github.com/feeddd/feeds,1.3k
atom,apm,https://github.com/atom/apm,1.3k
file-icons,atom,https://github.com/file-icons/atom,1.2k
fwcd,kotlin-language-server,https://github.com/fwcd/kotlin-language-server,1.1k
