username,repo_name,stars,repo_url
sindresorhus,awesome,https://github.com/sindresorhus/awesome,242k
vinta,awesome-python,https://github.com/vinta/awesome-python,159k
awesome-selfhosted,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,123k
avelino,awesome-go,https://github.com/avelino/awesome-go,97.5k
trimstray,the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,91.6k
papers-we-love,papers-we-love,https://github.com/papers-we-love/papers-we-love,70.2k
521xueweihan,HelloGitHub,https://github.com/521xueweihan/HelloGitHub,65.7k
Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,62.2k
jaywcjlove,awesome-mac,https://github.com/jaywcjlove/awesome-mac,58.4k
DopplerHQ,awesome-interview-questions,https://github.com/DopplerHQ/awesome-interview-questions,53.9k
sindresorhus,awesome-nodejs,https://github.com/sindresorhus/awesome-nodejs,50k
MunGell,awesome-for-beginners,https://github.com/MunGell/awesome-for-beginners,49k
prakhar1989,awesome-courses,https://github.com/prakhar1989/awesome-courses,45.9k
Solido,awesome-flutter,https://github.com/Solido/awesome-flutter,45.6k
wasabeef,awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,45.6k
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,44.2k
binhnguyennus,awesome-scalability,https://github.com/binhnguyennus/awesome-scalability,43.9k
vsouza,awesome-ios,https://github.com/vsouza/awesome-ios,42.1k
tiimgreen,github-cheat-sheet,https://github.com/tiimgreen/github-cheat-sheet,40k
dypsilon,frontend-dev-bookmarks,https://github.com/dypsilon/frontend-dev-bookmarks,37.6k
