username,repo_name,stars,repo_url
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,41k
pulumi,pulumi,https://github.com/pulumi/pulumi,15.3k
microsoft,recommenders,https://github.com/microsoft/recommenders,15.2k
ramitsurana,awesome-kubernetes,https://github.com/ramitsurana/awesome-kubernetes,13.6k
Azure,azure-quickstart-templates,https://github.com/Azure/azure-quickstart-templates,12.7k
mozilla,sops,https://github.com/mozilla/sops,12.1k
caprover,caprover,https://github.com/caprover/caprover,10.1k
google,go-cloud,https://github.com/google/go-cloud,8.9k
microsoft,computervision-recipes,https://github.com/microsoft/computervision-recipes,8.9k
infracost,infracost,https://github.com/infracost/infracost,8.7k
prowler-cloud,prowler,https://github.com/prowler-cloud/prowler,7.8k
microsoft,azuredatastudio,https://github.com/microsoft/azuredatastudio,7.1k
node-formidable,formidable,https://github.com/node-formidable/formidable,6.6k
midwayjs,midway,https://github.com/midwayjs/midway,6.5k
Netflix,metaflow,https://github.com/Netflix/metaflow,6.5k
thangchung,clean-code-dotnet,https://github.com/thangchung/clean-code-dotnet,5.9k
aquasecurity,tfsec,https://github.com/aquasecurity/tfsec,5.7k
budtmo,docker-android,https://github.com/budtmo/docker-android,5.5k
bridgecrewio,checkov,https://github.com/bridgecrewio/checkov,5.3k
nccgroup,ScoutSuite,https://github.com/nccgroup/ScoutSuite,5.2k
