username,repo_name,stars,repo_url
babel,babel,https://github.com/babel/babel,42k
swc-project,swc,https://github.com/swc-project/swc,26.4k
nylas,nylas-mail,https://github.com/nylas/nylas-mail,24.7k
electron-react-boilerplate,electron-react-boilerplate,https://github.com/electron-react-boilerplate/electron-react-boilerplate,20.9k
avajs,ava,https://github.com/avajs/ava,20.3k
SimulatedGREG,electron-vue,https://github.com/SimulatedGREG/electron-vue,15.2k
grab,front-end-guide,https://github.com/grab/front-end-guide,14.8k
jamiebuilds,babel-handbook,https://github.com/jamiebuilds/babel-handbook,11.6k
grommet,grommet,https://github.com/grommet/grommet,8.1k
developit,htm,https://github.com/developit/htm,8.1k
ben-rogerson,twin.macro,https://github.com/ben-rogerson/twin.macro,7k
angular-fullstack,generator-angular-fullstack,https://github.com/angular-fullstack/generator-angular-fullstack,6.1k
documentationjs,documentation,https://github.com/documentationjs/documentation,5.7k
insin,nwb,https://github.com/insin/nwb,5.5k
fkling,astexplorer,https://github.com/fkling/astexplorer,5.3k
thinkjs,thinkjs,https://github.com/thinkjs/thinkjs,5.3k
egoist,poi,https://github.com/egoist/poi,5.3k
transitive-bullshit,create-react-library,https://github.com/transitive-bullshit/create-react-library,4.8k
duxianwei520,react,https://github.com/duxianwei520/react,4.7k
babel,babel-loader,https://github.com/babel/babel-loader,4.7k
