username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,132k
nvm-sh,nvm,https://github.com/nvm-sh/nvm,65.3k
junegunn,fzf,https://github.com/junegunn/fzf,50.2k
google,zx,https://github.com/google/zx,36.5k
dylanaraps,pure-bash-bible,https://github.com/dylanaraps/pure-bash-bible,33k
starship,starship,https://github.com/starship/starship,33k
LeCoupa,awesome-cheatsheets,https://github.com/LeCoupa/awesome-cheatsheets,32.7k
koalaman,shellcheck,https://github.com/koalaman/shellcheck,31.6k
acmesh-official,acme.sh,https://github.com/acmesh-official/acme.sh,30.6k
mathiasbynens,dotfiles,https://github.com/mathiasbynens/dotfiles,28.8k
alebcay,awesome-shell,https://github.com/alebcay/awesome-shell,26.8k
jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,23.2k
withfig,autocomplete,https://github.com/withfig/autocomplete,21.6k
dylanaraps,neofetch,https://github.com/dylanaraps/neofetch,17.5k
Nyr,openvpn-install,https://github.com/Nyr/openvpn-install,16.7k
rbenv,rbenv,https://github.com/rbenv/rbenv,14.9k
faressoft,terminalizer,https://github.com/faressoft/terminalizer,13.8k
shelljs,shelljs,https://github.com/shelljs/shelljs,13.7k
powerline,powerline,https://github.com/powerline/powerline,13.7k
Bash-it,bash-it,https://github.com/Bash-it/bash-it,13.4k
