username,repo_name,stars,repo_url
ccxt,ccxt,https://github.com/ccxt/ccxt,27.4k
discordjs,discord.js,https://github.com/discordjs/discord.js,21.9k
python-telegram-bot,python-telegram-bot,https://github.com/python-telegram-bot/python-telegram-bot,21.2k
hubotio,hubot,https://github.com/hubotio/hubot,16.4k
RasaHQ,rasa,https://github.com/RasaHQ/rasa,15.7k
wechaty,wechaty,https://github.com/wechaty/wechaty,15.2k
InstaPy,InstaPy,https://github.com/InstaPy/InstaPy,15.1k
gunthercox,ChatterBot,https://github.com/gunthercox/ChatterBot,13k
tgbot-collection,YYeTsBot,https://github.com/tgbot-collection/YYeTsBot,12.5k
Rapptz,discord.py,https://github.com/Rapptz/discord.py,12.3k
leon-ai,leon,https://github.com/leon-ai/leon,12k
howdyai,botkit,https://github.com/howdyai/botkit,11k
botpress,botpress,https://github.com/botpress/botpress,10.1k
pedroslopez,whatsapp-web.js,https://github.com/pedroslopez/whatsapp-web.js,9.4k
sfyc23,EverydayWechat,https://github.com/sfyc23/EverydayWechat,9.4k
microsoft,ailab,https://github.com/microsoft/ailab,7.3k
Mrs4s,go-cqhttp,https://github.com/Mrs4s/go-cqhttp,7.2k
microsoft,botframework-sdk,https://github.com/microsoft/botframework-sdk,7k
yagop,node-telegram-bot-api,https://github.com/yagop/node-telegram-bot-api,6.9k
EZFNDEV,EZFN-Lobbybot,https://github.com/EZFNDEV/EZFN-Lobbybot,6.9k
