username,repo_name,stars,repo_url
CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes,162k
practical-tutorials,project-based-learning,https://github.com/practical-tutorials/project-based-learning,93.5k
azl397985856,leetcode,https://github.com/azl397985856/leetcode,50.7k
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,44.2k
x64dbg,x64dbg,https://github.com/x64dbg/x64dbg,40k
youngyangyang04,leetcode-master,https://github.com/youngyangyang04/leetcode-master,36.1k
carbon-language,carbon-lang,https://github.com/carbon-language/carbon-lang,29.8k
huihut,interview,https://github.com/huihut/interview,27.8k
microsoft,calculator,https://github.com/microsoft/calculator,26.8k
CMU-Perceptual-Computing-Lab,openpose,https://github.com/CMU-Perceptual-Computing-Lab/openpose,26.2k
yuzu-emu,yuzu,https://github.com/yuzu-emu/yuzu,24.2k
TheAlgorithms,C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,23.5k
doocs,leetcode,https://github.com/doocs/leetcode,21.4k
changkun,modern-cpp-tutorial,https://github.com/changkun/modern-cpp-tutorial,20.1k
ethereum,solidity,https://github.com/ethereum/solidity,19.6k
microsoft,vcpkg,https://github.com/microsoft/vcpkg,18k
dragonflydb,dragonfly,https://github.com/dragonflydb/dragonfly,17.2k
gabime,spdlog,https://github.com/gabime/spdlog,17.1k
catchorg,Catch2,https://github.com/catchorg/Catch2,16.3k
ssloy,tinyrenderer,https://github.com/ssloy/tinyrenderer,16.2k
