username,repo_name,stars,repo_url
Genymobile,scrcpy,https://github.com/Genymobile/scrcpy,77.5k
neovim,neovim,https://github.com/neovim/neovim,63.1k
obsproject,obs-studio,https://github.com/obsproject/obs-studio,46.1k
git,git,https://github.com/git/git,45.5k
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,44.2k
FFmpeg,FFmpeg,https://github.com/FFmpeg/FFmpeg,34.6k
serhii-londar,open-source-mac-os-apps,https://github.com/serhii-londar/open-source-mac-os-apps,34.4k
vim,vim,https://github.com/vim/vim,29.7k
curl,curl,https://github.com/curl/curl,28.7k
huihut,interview,https://github.com/huihut/interview,27.8k
ggreer,the_silver_searcher,https://github.com/ggreer/the_silver_searcher,24.7k
pbatard,rufus,https://github.com/pbatard/rufus,21.9k
mpv-player,mpv,https://github.com/mpv-player/mpv,21.7k
ossrs,srs,https://github.com/ossrs/srs,20.9k
ruby,ruby,https://github.com/ruby/ruby,20k
google,flatbuffers,https://github.com/google/flatbuffers,20k
oracle,graal,https://github.com/oracle/graal,18.3k
microsoft,vcpkg,https://github.com/microsoft/vcpkg,18k
kovidgoyal,kitty,https://github.com/kovidgoyal/kitty,17.9k
radareorg,radare2,https://github.com/radareorg/radare2,17.7k
