username,repo_name,stars,repo_url
CSSEGISandData,COVID-19,https://github.com/CSSEGISandData/COVID-19,29.3k
nytimes,covid-19-data,https://github.com/nytimes/covid-19-data,6.9k
covid19india,covid19india-react,https://github.com/covid19india/covid19india-react,6.9k
tokyo-metropolitan-gov,covid19,https://github.com/tokyo-metropolitan-gov/covid19,6.4k
owid,covid-19-data,https://github.com/owid/covid-19-data,5.6k
pcm-dpc,COVID-19,https://github.com/pcm-dpc/COVID-19,3.9k
ieee8023,covid-chestxray-dataset,https://github.com/ieee8023/covid-chestxray-dataset,2.9k
disease-sh,API,https://github.com/disease-sh/API,2.4k
geohot,corona,https://github.com/geohot/corona,2.4k
WorldHealthOrganization,app,https://github.com/WorldHealthOrganization/app,2.1k
corona-warn-app,cwa-server,https://github.com/corona-warn-app/cwa-server,1.9k
ahmadawais,corona-cli,https://github.com/ahmadawais/corona-cli,1.9k
github,covid19-dashboard,https://github.com/github/covid19-dashboard,1.6k
ExpDev07,coronavirus-tracker-api,https://github.com/ExpDev07/coronavirus-tracker-api,1.6k
soroushchehresa,awesome-coronavirus,https://github.com/soroushchehresa/awesome-coronavirus,1.5k
mhdhejazi,CoronaTracker,https://github.com/mhdhejazi/CoronaTracker,1.5k
chandrikadeb7,Face-Mask-Detection,https://github.com/chandrikadeb7/Face-Mask-Detection,1.4k
neherlab,covid19_scenarios,https://github.com/neherlab/covid19_scenarios,1.4k
chrismattmann,tika-python,https://github.com/chrismattmann/tika-python,1.2k
pomber,covid19,https://github.com/pomber/covid19,1.2k
