username,repo_name,stars,repo_url
iamadamdev,bypass-paywalls-chrome,https://github.com/iamadamdev/bypass-paywalls-chrome,34k
jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,23.2k
refined-github,refined-github,https://github.com/refined-github/refined-github,20.5k
darkreader,darkreader,https://github.com/darkreader/darkreader,16.2k
checkly,headless-recorder,https://github.com/checkly/headless-recorder,14.7k
unbug,codelf,https://github.com/unbug/codelf,13.4k
dailydotdev,daily,https://github.com/dailydotdev/daily,11.8k
wong2,chatgpt-google-extension,https://github.com/wong2/chatgpt-google-extension,11.3k
Anarios,return-youtube-dislike,https://github.com/Anarios/return-youtube-dislike,10.8k
crimx,ext-saladict,https://github.com/crimx/ext-saladict,10.4k
gildas-lormeau,SingleFile,https://github.com/gildas-lormeau/SingleFile,10.4k
listen1,listen1_chrome_extension,https://github.com/listen1/listen1_chrome_extension,9.7k
appbaseio,dejavu,https://github.com/appbaseio/dejavu,8.1k
alyssaxuu,screenity,https://github.com/alyssaxuu/screenity,8k
Kenshin,simpread,https://github.com/Kenshin/simpread,6.8k
ajayyy,SponsorBlock,https://github.com/ajayyy/SponsorBlock,6.5k
AutomaApp,automa,https://github.com/AutomaApp/automa,6.5k
alyssaxuu,omni,https://github.com/alyssaxuu/omni,6k
dessant,buster,https://github.com/dessant/buster,5.7k
PlasmoHQ,plasmo,https://github.com/PlasmoHQ/plasmo,5.4k
