username,repo_name,stars,repo_url
electron,electron,https://github.com/electron/electron,106k
puppeteer,puppeteer,https://github.com/puppeteer/puppeteer,82.1k
microsoft,playwright,https://github.com/microsoft/playwright,48.3k
FiloSottile,mkcert,https://github.com/FiloSottile/mkcert,39.9k
iamadamdev,bypass-paywalls-chrome,https://github.com/iamadamdev/bypass-paywalls-chrome,34k
jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,23.2k
ovity,octotree,https://github.com/ovity/octotree,22.4k
segmentio,nightmare,https://github.com/segmentio/nightmare,19.3k
checkly,headless-recorder,https://github.com/checkly/headless-recorder,14.7k
google,WebFundamentals,https://github.com/google/WebFundamentals,13.7k
prisma-archive,chromeless,https://github.com/prisma-archive/chromeless,13.2k
GoogleChrome,chrome-extensions-samples,https://github.com/GoogleChrome/chrome-extensions-samples,11.8k
casesandberg,react-color,https://github.com/casesandberg/react-color,11.3k
crimx,ext-saladict,https://github.com/crimx/ext-saladict,10.4k
gildas-lormeau,SingleFile,https://github.com/gildas-lormeau/SingleFile,10.4k
MetaMask,metamask-extension,https://github.com/MetaMask/metamask-extension,9.4k
chromedp,chromedp,https://github.com/chromedp/chromedp,8.7k
uBlock-LLC,uBlock,https://github.com/uBlock-LLC/uBlock,8.1k
moonD4rk,HackBrowserData,https://github.com/moonD4rk/HackBrowserData,7.1k
Kenshin,simpread,https://github.com/Kenshin/simpread,6.8k
