username,repo_name,stars,repo_url
metabase,metabase,https://github.com/metabase/metabase,31.6k
penpot,penpot,https://github.com/penpot/penpot,21k
logseq,logseq,https://github.com/logseq/logseq,20.8k
deeplearning4j,deeplearning4j,https://github.com/deeplearning4j/deeplearning4j,12.8k
LightTable,LightTable,https://github.com/LightTable/LightTable,11.7k
kanaka,mal,https://github.com/kanaka/mal,9.2k
lk-geimfari,awesomo,https://github.com/lk-geimfari/awesomo,8.8k
tonsky,datascript,https://github.com/tonsky/datascript,5.1k
reagent-project,reagent,https://github.com/reagent-project/reagent,4.6k
riemann,riemann,https://github.com/riemann/riemann,4.2k
weavejester,compojure,https://github.com/weavejester/compojure,4k
izhangzhihao,intellij-rainbow-brackets,https://github.com/izhangzhihao/intellij-rainbow-brackets,3.9k
bbatsov,clojure-style-guide,https://github.com/bbatsov/clojure-style-guide,3.9k
status-im,status-mobile,https://github.com/status-im/status-mobile,3.6k
ring-clojure,ring,https://github.com/ring-clojure/ring,3.6k
clojure-emacs,cider,https://github.com/clojure-emacs/cider,3.4k
babashka,babashka,https://github.com/babashka/babashka,3.2k
viebel,klipse,https://github.com/viebel/klipse,3k
tallesl,Rich-Hickey-fanclub,https://github.com/tallesl/Rich-Hickey-fanclub,2.9k
bhauman,lein-figwheel,https://github.com/bhauman/lein-figwheel,2.9k
