username,repo_name,stars,repo_url
realm,SwiftLint,https://github.com/realm/SwiftLint,17.1k
facebook,infer,https://github.com/facebook/infer,13.9k
analysis-tools-dev,static-analysis,https://github.com/analysis-tools-dev/static-analysis,11k
Kristories,awesome-guidelines,https://github.com/Kristories/awesome-guidelines,8.6k
checkstyle,checkstyle,https://github.com/checkstyle/checkstyle,7.6k
SonarSource,sonarqube,https://github.com/SonarSource/sonarqube,7.6k
facebook,pyre-check,https://github.com/facebook/pyre-check,6.3k
reviewdog,reviewdog,https://github.com/reviewdog/reviewdog,6.1k
detekt,detekt,https://github.com/detekt/detekt,5.2k
import-js,eslint-plugin-import,https://github.com/import-js/eslint-plugin-import,4.6k
simplecov-ruby,simplecov,https://github.com/simplecov-ruby/simplecov,4.6k
PyCQA,pylint,https://github.com/PyCQA/pylint,4.5k
pmd,pmd,https://github.com/pmd/pmd,4.2k
trekhleb,state-of-the-art-shitcode,https://github.com/trekhleb/state-of-the-art-shitcode,4k
phpro,grumphp,https://github.com/phpro/grumphp,3.9k
kucherenko,jscpd,https://github.com/kucherenko/jscpd,3k
htmlhint,HTMLHint,https://github.com/htmlhint/HTMLHint,2.9k
codeclimate,codeclimate,https://github.com/codeclimate/codeclimate,2.4k
wemake-services,wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide,2.2k
uber,piranha,https://github.com/uber/piranha,2k
