username,repo_name,stars,repo_url
ovity,octotree,https://github.com/ovity/octotree,22.4k
gitpod-io,gitpod,https://github.com/gitpod-io/gitpod,10.4k
reviewdog,reviewdog,https://github.com/reviewdog/reviewdog,6.1k
danger,danger,https://github.com/danger/danger,5.1k
danger,danger-js,https://github.com/danger/danger-js,4.9k
joho,awesome-code-review,https://github.com/joho/awesome-code-review,3.8k
ajinabraham,nodejsscan,https://github.com/ajinabraham/nodejsscan,2.1k
microsoft,vscode-pull-request-github,https://github.com/microsoft/vscode-pull-request-github,2k
houndci,hound,https://github.com/houndci/hound,1.9k
mbj,mutant,https://github.com/mbj/mutant,1.9k
crev-dev,cargo-crev,https://github.com/crev-dev/cargo-crev,1.8k
reviewboard,reviewboard,https://github.com/reviewboard/reviewboard,1.5k
Tencent,CodeAnalysis,https://github.com/Tencent/CodeAnalysis,1.4k
ryanmcdermott,code-review-tips,https://github.com/ryanmcdermott/code-review-tips,1.3k
bit4woo,python_sec,https://github.com/bit4woo/python_sec,1.2k
code-review-checklists,java-concurrency,https://github.com/code-review-checklists/java-concurrency,1.1k
jiangsir404,Audit-Learning,https://github.com/jiangsir404/Audit-Learning,860
TeamCodeStream,codestream,https://github.com/TeamCodeStream/codestream,856
enlightn,enlightn,https://github.com/enlightn/enlightn,751
palantir,policy-bot,https://github.com/palantir/policy-bot,597
