username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,156k
junegunn,fzf,https://github.com/junegunn/fzf,50.2k
sharkdp,bat,https://github.com/sharkdp/bat,40k
sherlock-project,sherlock,https://github.com/sherlock-project/sherlock,39.5k
google,zx,https://github.com/google/zx,36.5k
BurntSushi,ripgrep,https://github.com/BurntSushi/ripgrep,36.4k
wagoodman,dive,https://github.com/wagoodman/dive,36k
chubin,cheat.sh,https://github.com/chubin/cheat.sh,34.8k
jesseduffield,lazygit,https://github.com/jesseduffield/lazygit,33.1k
cli,cli,https://github.com/cli/cli,31.6k
spf13,cobra,https://github.com/spf13/cobra,30.9k
n8n-io,n8n,https://github.com/n8n-io/n8n,28.7k
alebcay,awesome-shell,https://github.com/alebcay/awesome-shell,26.8k
httpie,httpie,https://github.com/httpie/httpie,26.7k
sharkdp,fd,https://github.com/sharkdp/fd,26.6k
ibraheemdev,modern-unix,https://github.com/ibraheemdev/modern-unix,26k
angular,angular-cli,https://github.com/angular/angular-cli,26k
tqdm,tqdm,https://github.com/tqdm/tqdm,24.2k
google,python-fire,https://github.com/google/python-fire,24.1k
vercel,pkg,https://github.com/vercel/pkg,22.9k
