username,repo_name,stars,repo_url
vercel,next.js,https://github.com/vercel/next.js,102k
rust-lang,rust,https://github.com/rust-lang/rust,78.6k
sveltejs,svelte,https://github.com/sveltejs/svelte,66.1k
webpack,webpack,https://github.com/webpack/webpack,62.6k
gatsbyjs,gatsby,https://github.com/gatsbyjs/gatsby,54.2k
JetBrains,kotlin,https://github.com/JetBrains/kotlin,44.1k
parcel-bundler,parcel,https://github.com/parcel-bundler/parcel,42.1k
babel,babel,https://github.com/babel/babel,42k
evanw,esbuild,https://github.com/evanw/esbuild,34.8k
vlang,v,https://github.com/vlang/v,32.6k
carbon-language,carbon-lang,https://github.com/carbon-language/carbon-lang,29.8k
markedjs,marked,https://github.com/markedjs/marked,29.2k
swc-project,swc,https://github.com/swc-project/swc,26.4k
vercel,pkg,https://github.com/vercel/pkg,22.9k
v8,v8,https://github.com/v8/v8,20.9k
ziglang,zig,https://github.com/ziglang/zig,20.2k
AssemblyScript,assemblyscript,https://github.com/AssemblyScript/assemblyscript,15.2k
nim-lang,Nim,https://github.com/nim-lang/Nim,14.7k
RustPython,RustPython,https://github.com/RustPython/RustPython,13.8k
Konloch,bytecode-viewer,https://github.com/Konloch/bytecode-viewer,13.6k
