username,repo_name,stars,repo_url
localstack,localstack,https://github.com/localstack/localstack,46.1k
harness,drone,https://github.com/harness/drone,26.5k
jenkinsci,jenkins,https://github.com/jenkinsci/jenkins,20.4k
auchenberg,volkswagen,https://github.com/auchenberg/volkswagen,12.6k
theonedev,onedev,https://github.com/theonedev/onedev,10.9k
openshift,origin,https://github.com/openshift/origin,8.3k
dagger,dagger,https://github.com/dagger/dagger,7.8k
concourse,concourse,https://github.com/concourse/concourse,6.8k
gocd,gocd,https://github.com/gocd/gocd,6.7k
buildbot,buildbot,https://github.com/buildbot/buildbot,5k
gaia-pipeline,gaia,https://github.com/gaia-pipeline/gaia,5k
Strider-CD,strider,https://github.com/Strider-CD/strider,4.6k
milanm,DevOps-Roadmap,https://github.com/milanm/DevOps-Roadmap,4.4k
jenkins-x,jx,https://github.com/jenkins-x/jx,4.3k
ovh,cds,https://github.com/ovh/cds,4.1k
xcpretty,xcpretty,https://github.com/xcpretty/xcpretty,3.8k
hygieia,hygieia,https://github.com/hygieia/hygieia,3.7k
iterative,cml,https://github.com/iterative/cml,3.7k
werf,werf,https://github.com/werf/werf,3.5k
cake-build,cake,https://github.com/cake-build/cake,3.5k
